iter	MAE
0	15.23670287
1	14.57690519
2	13.98162936
3	13.39422241
4	12.84163365
5	12.32286304
6	11.8300549
7	11.35938172
8	10.92165799
9	10.5194455
10	10.15038299
11	9.791741765
12	9.439425138
13	9.106321288
14	8.819307533
15	8.516771162
16	8.236610078
17	7.976430672
18	7.736461197
19	7.520182944
20	7.306447054
21	7.101789438
22	6.925844207
23	6.761746985
24	6.594733941
25	6.433715897
26	6.295822943
27	6.156801763
28	6.030418393
29	5.914385403
30	5.80379155
31	5.695254952
32	5.607423566
33	5.520248351
34	5.431353535
35	5.354717972
36	5.2783836
37	5.215512067
38	5.158108874
39	5.096403924
40	5.040280817
41	4.989930593
42	4.934169973
43	4.884458883
44	4.844827088
45	4.809808502
46	4.771527893
47	4.732179822
48	4.702358153
49	4.670052924
50	4.642861758
51	4.619485938
52	4.601401226
53	4.580084742
54	4.561137789
55	4.539972384
56	4.525667032
57	4.510730926
58	4.491842307
59	4.477381352
60	4.458598315
61	4.445441952
62	4.433102616
63	4.421031002
64	4.413472765
65	4.403787731
66	4.395978758
67	4.386431028
68	4.376095108
69	4.365146394
70	4.352999051
71	4.341703032
72	4.340173063
73	4.331470728
74	4.32448865
75	4.318916889
76	4.312973529
77	4.303753582
78	4.299643915
79	4.294221085
80	4.287866098
81	4.281766539
82	4.27482361
83	4.269152711
84	4.264642548
85	4.257714321
86	4.25154619
87	4.246273361
88	4.242710735
89	4.239515528
90	4.233993659
91	4.230530213
92	4.225771574
93	4.222270784
94	4.219113294
95	4.215609695
96	4.214197339
97	4.210810455
98	4.207710205
99	4.204288948
100	4.197921782
101	4.193713761
102	4.188378743
103	4.184538006
104	4.182713075
105	4.180034442
106	4.177177262
107	4.174525693
108	4.168636976
109	4.164435187
110	4.163345011
111	4.161953063
112	4.158861297
113	4.156754204
114	4.156080491
115	4.154793957
116	4.15330539
117	4.150959302
118	4.148313389
119	4.146053589
120	4.144839879
121	4.143722796
122	4.137721014
123	4.133427362
124	4.129660457
125	4.125572418
126	4.122855767
127	4.119385041
128	4.11913765
129	4.11851192
130	4.116840245
131	4.115859203
132	4.114901201
133	4.111339868
134	4.109825893
135	4.108478659
136	4.106956432
137	4.100754937
138	4.099407143
139	4.098879314
140	4.097377845
141	4.095405879
142	4.094100699
143	4.093161201
144	4.092199864
145	4.090980943
146	4.090296877
147	4.090294196
148	4.089415107
149	4.087730003
150	4.085802367
151	4.082506601
152	4.081828498
153	4.078455244
154	4.077566596
155	4.077301426
156	4.073131816
157	4.069879664
158	4.069275837
159	4.065200648
160	4.06338877
161	4.061671269
162	4.060351269
163	4.058556284
164	4.056298172
165	4.055110484
166	4.051425148
167	4.049304423
168	4.048788422
169	4.048240787
170	4.046673888
171	4.043620107
172	4.039368977
173	4.037548971
174	4.036710391
175	4.035934696
176	4.033837249
177	4.033364583
178	4.029934571
179	4.02822888
180	4.02765161
181	4.027582859
182	4.026857066
183	4.026261864
184	4.023605555
185	4.023194025
186	4.020404691
187	4.019795936
188	4.018624285
189	4.01760286
190	4.016724658
191	4.014993633
192	4.014478653
193	4.013210617
194	4.012746098
195	4.010819432
196	4.009819018
197	4.006868211
198	4.005759181
199	4.004687672
200	4.004185831
201	4.003039214
202	4.001424223
203	4.000510398
204	4.000052541
205	3.998112016
206	3.996878992
207	3.996357766
208	3.995621816
209	3.995224999
210	3.994729182
211	3.99239599
212	3.991780985
213	3.991068282
214	3.988712809
215	3.988152837
216	3.987449986
217	3.984745707
218	3.981107251
219	3.978351434
220	3.976979434
221	3.976616287
222	3.975833841
223	3.973890705
224	3.972858882
225	3.972258727
226	3.971714143
227	3.971036889
228	3.970644355
229	3.970410865
230	3.966033769
231	3.964698292
232	3.963478552
233	3.963053268
234	3.960741883
235	3.959304839
236	3.958482947
237	3.955926308
238	3.954164168
239	3.952200388
240	3.950805607
241	3.948983205
242	3.947954351
243	3.947097172
244	3.945635561
245	3.944078026
246	3.943457851
247	3.941263237
248	3.941075982
249	3.940733492
250	3.940134907
251	3.938782111
252	3.938076394
253	3.936854958
254	3.935218047
255	3.93495051
256	3.934490538
257	3.933380734
258	3.931082263
259	3.930497768
260	3.929695686
261	3.92705647
262	3.925371068
263	3.924803235
264	3.923891732
265	3.923456543
266	3.922748482
267	3.921883095
268	3.920452983
269	3.9193927
270	3.918316037
271	3.917680877
272	3.916971185
273	3.915612617
274	3.914745397
275	3.914232362
276	3.912691923
277	3.91076089
278	3.910562541
279	3.909420857
280	3.909107093
281	3.906755728
282	3.905956209
283	3.904837669
284	3.904202482
285	3.903800608
286	3.903120115
287	3.903014713
288	3.902098807
289	3.901135776
290	3.900230896
291	3.899616088
292	3.899260559
293	3.898474979
294	3.898083774
295	3.897729898
296	3.897033
297	3.895827297
298	3.895308941
299	3.894848047
300	3.894456672
301	3.894250508
302	3.894026102
303	3.893525656
304	3.892865077
305	3.891580978
306	3.890663806
307	3.890272428
308	3.890093288
309	3.889104395
310	3.888508093
311	3.88807036
312	3.887807204
313	3.887426071
314	3.886200872
315	3.885728465
316	3.885379054
317	3.884877264
318	3.881214163
319	3.880721291
320	3.879591837
321	3.878099937
322	3.877615181
323	3.876827584
324	3.876404916
325	3.875455796
326	3.874745947
327	3.873725662
328	3.87346104
329	3.872821776
330	3.872505453
331	3.872133875
332	3.870082465
333	3.869408955
334	3.869119581
335	3.867962067
336	3.867390919
337	3.867212796
338	3.866491562
339	3.865870815
340	3.865415919
341	3.865092289
342	3.86490904
343	3.864401295
344	3.863612332
345	3.863247083
346	3.862905651
347	3.862688964
348	3.86226247
349	3.861759108
350	3.861352415
351	3.861223456
352	3.860914398
353	3.860152933
354	3.858550361
355	3.857959419
356	3.857585774
357	3.856413705
358	3.855950191
359	3.854421694
360	3.854245028
361	3.853608873
362	3.852359194
363	3.851975039
364	3.850962264
365	3.850215995
366	3.847621434
367	3.846848776
368	3.8466861
369	3.846466643
370	3.845838471
371	3.845347703
372	3.845139388
373	3.843896308
374	3.843349942
375	3.843110505
376	3.842762863
377	3.842593656
378	3.841463046
379	3.840947598
380	3.840474231
381	3.839871619
382	3.839431009
383	3.838512274
384	3.838358788
385	3.837874506
386	3.83733124
387	3.836368047
388	3.835849978
389	3.835237702
390	3.834921511
391	3.833681731
392	3.832981761
393	3.832686659
394	3.832332463
395	3.83164178
396	3.831449677
397	3.830878537
398	3.830370364
399	3.830111043
400	3.827215748
401	3.826300225
402	3.826058375
403	3.82533617
404	3.823517072
405	3.82298222
406	3.822176708
407	3.820995827
408	3.820911214
409	3.820590171
410	3.818923102
411	3.817470228
412	3.817327706
413	3.817075975
414	3.81548185
415	3.81457958
416	3.814417995
417	3.81397377
418	3.813272462
419	3.812266167
420	3.81031212
421	3.809888536
422	3.80911373
423	3.808488616
424	3.808182332
425	3.80751553
426	3.806863018
427	3.805859147
428	3.805432533
429	3.805208989
430	3.804857732
431	3.804682041
432	3.803808595
433	3.80265278
434	3.801866664
435	3.801439614
436	3.800243155
437	3.799954699
438	3.79933256
439	3.798945641
440	3.798074172
441	3.797817232
442	3.797348607
443	3.796955967
444	3.796565164
445	3.795981129
446	3.795406978
447	3.795064205
448	3.794685183
449	3.793944086
450	3.792140581
451	3.791766551
452	3.790976057
453	3.790848465
454	3.790161661
455	3.789639369
456	3.789111821
457	3.787851817
458	3.787664556
459	3.786668126
460	3.786034543
461	3.785121667
462	3.78462024
463	3.784414357
464	3.784119463
465	3.783673381
466	3.782997355
467	3.781912822
468	3.781551923
469	3.780985705
470	3.780592905
471	3.779976159
472	3.779798152
473	3.778843659
474	3.777790387
475	3.777304796
476	3.776574484
477	3.776214032
478	3.775741976
479	3.774697937
480	3.774437999
481	3.774169405
482	3.773966831
483	3.772534846
484	3.772422582
485	3.771967309
486	3.771300275
487	3.770867167
488	3.770568714
489	3.770326672
490	3.770056009
491	3.769715322
492	3.769543976
493	3.769372729
