iter	Passed	Remaining
0	204	163226
1	261	104361
2	317	84229
3	373	74361
4	432	68692
5	488	64628
6	544	61671
7	598	59286
8	658	57851
9	720	56931
10	783	56187
11	841	55225
12	898	54418
13	969	54452
14	1024	53633
15	1086	53214
16	1148	52906
17	1210	52606
18	1273	52350
19	1334	52029
20	1400	51937
21	1455	51484
22	1513	51125
23	1569	50757
24	1625	50399
25	1683	50105
26	1729	49522
27	1786	49259
28	1844	49044
29	1919	49266
30	1982	49169
31	2042	49013
32	2096	48733
33	2156	48581
34	2211	48332
35	2267	48124
36	2324	47933
37	2378	47699
38	2434	47498
39	2491	47336
40	2555	47300
41	2618	47258
42	2675	47099
43	2736	47017
44	2797	46933
45	2857	46843
46	2916	46726
47	2977	46650
48	3039	46586
49	3105	46585
50	3171	46572
51	3239	46596
52	3298	46494
53	3355	46360
54	3414	46255
55	3472	46138
56	3535	46081
57	3592	45954
58	3647	45810
59	3703	45677
60	3772	45700
61	3832	45619
62	3895	45573
63	3959	45530
64	4029	45558
65	4087	45461
66	4146	45360
67	4203	45244
68	4260	45138
69	4329	45149
70	4437	45563
71	4498	45488
72	4518	44999
73	4575	44885
74	4631	44775
75	4687	44655
76	4746	44566
77	4804	44467
78	4859	44352
79	4915	44242
80	4971	44131
81	5027	44025
82	5082	43906
83	5138	43797
84	5200	43745
85	5262	43687
86	5324	43635
87	5389	43603
88	5446	43511
89	5504	43421
90	5562	43341
91	5623	43273
92	5685	43224
93	5749	43179
94	5807	43098
95	5863	42995
96	5882	42634
97	5936	42526
98	5992	42433
99	6049	42349
100	6105	42254
101	6160	42154
102	6216	42069
103	6271	41970
104	6332	41913
105	6386	41812
106	6455	41809
107	6525	41813
108	6584	41739
109	6645	41685
110	6682	41481
111	6746	41440
112	6818	41452
113	6897	41505
114	6921	41229
115	6980	41159
116	7037	41083
117	7093	40998
118	7151	40925
119	7211	40867
120	7269	40795
121	7331	40741
122	7400	40734
123	7459	40666
124	7517	40595
125	7575	40522
126	7633	40449
127	7690	40375
128	7710	40104
129	7771	40054
130	7834	40007
131	7901	39985
132	7965	39946
133	8026	39892
134	8130	40052
135	8201	40040
136	8269	40019
137	8327	39945
138	8384	39870
139	8430	39741
140	8487	39667
141	8544	39594
142	8612	39571
143	8672	39507
144	8728	39428
145	8785	39353
146	8852	39323
147	8872	39086
148	8933	39030
149	8995	38980
150	9060	38944
151	9124	38897
152	9185	38841
153	9243	38773
154	9306	38726
155	9352	38607
156	9416	38564
157	9479	38516
158	9534	38436
159	9588	38354
160	9642	38272
161	9696	38189
162	9752	38110
163	9807	38032
164	9860	37948
165	9915	37869
166	9977	37820
